date,rgdp,,Title:,"Real Gross Domestic Product, 1 Decimal"
1/1/1947,1770.7,,Series ID:,GDPC1
1/4/1947,1768,,Source:,U.S. Department of Commerce: Bureau of Economic Analysis
1/7/1947,1766.5,,Release:,Gross Domestic Product
1/10/1947,1793.3,,Seasonal Adjustment:,Seasonally Adjusted Annual Rate
1/1/1948,1821.8,,Frequency:,Quarterly
1/4/1948,1855.3,,Units:,Billions of Chained 2005 Dollars
1/7/1948,1865.3,,Date Range:,1947-01-01 to 2012-01-01
1/10/1948,1868.2,,Last Updated:,2012-05-31 8:01 AM CDT
1/1/1949,1842.2,,Notes:,Real gross domestic product is the inflation adjusted value of the
1/4/1949,1835.5,,,goods and services produced by labor and property located in the
1/7/1949,1856.1,,,United States.
1/10/1949,1838.7,,,
1/1/1950,1913,,,For more information see the Guide to the National Income and Product
1/4/1950,1971.2,,,Accounts of the United States (NIPA) -
1/7/1950,2048.4,,,(http://www.bea.gov/national/pdf/nipaguid.pdf)
1/10/1950,2084.4,,,
1/1/1951,2110.7,,,
1/4/1951,2145.7,,,
1/7/1951,2188.5,,,
1/10/1951,2192.2,,,
1/1/1952,2214.3,,,
1/4/1952,2216.7,,,
1/7/1952,2231.6,,,
1/10/1952,2305.3,,,
1/1/1953,2348.4,,,
1/4/1953,2366.2,,,
1/7/1953,2351.8,,,
1/10/1953,2314.6,,,
1/1/1954,2303.5,,,
1/4/1954,2306.4,,,
1/7/1954,2332.4,,,
1/10/1954,2379.1,,,
1/1/1955,2447.7,,,
1/4/1955,2488.1,,,
1/7/1955,2521.4,,,
1/10/1955,2535.5,,,
1/1/1956,2523.9,,,
1/4/1956,2543.8,,,
1/7/1956,2540.6,,,
1/10/1956,2582.1,,,
1/1/1957,2597.9,,,
1/4/1957,2591.7,,,
1/7/1957,2616.6,,,
1/10/1957,2589.1,,,
1/1/1958,2519,,,
1/4/1958,2534.5,,,
1/7/1958,2593.9,,,
1/10/1958,2654.3,,,
1/1/1959,2708,,,
1/4/1959,2776.4,,,
1/7/1959,2773.1,,,
1/10/1959,2782.8,,,
1/1/1960,2845.3,,,
1/4/1960,2832,,,
1/7/1960,2836.6,,,
1/10/1960,2800.2,,,
1/1/1961,2816.9,,,
1/4/1961,2869.6,,,
1/7/1961,2915.9,,,
1/10/1961,2975.3,,,
1/1/1962,3028.7,,,
1/4/1962,3062.1,,,
1/7/1962,3090.4,,,
1/10/1962,3097.9,,,
1/1/1963,3138.4,,,
1/4/1963,3177.7,,,
1/7/1963,3237.6,,,
1/10/1963,3262.2,,,
1/1/1964,3335.4,,,
1/4/1964,3373.7,,,
1/7/1964,3419.5,,,
1/10/1964,3429,,,
1/1/1965,3513.3,,,
1/4/1965,3560.9,,,
1/7/1965,3633.2,,,
1/10/1965,3720.8,,,
1/1/1966,3812.2,,,
1/4/1966,3824.9,,,
1/7/1966,3850,,,
1/10/1966,3881.2,,,
1/1/1967,3915.4,,,
1/4/1967,3916.2,,,
1/7/1967,3947.5,,,
1/10/1967,3977.6,,,
1/1/1968,4059.5,,,
1/4/1968,4128.5,,,
1/7/1968,4156.7,,,
1/10/1968,4174.7,,,
1/1/1969,4240.5,,,
1/4/1969,4252.8,,,
1/7/1969,4279.7,,,
1/10/1969,4259.6,,,
1/1/1970,4252.9,,,
1/4/1970,4260.7,,,
1/7/1970,4298.6,,,
1/10/1970,4253,,,
1/1/1971,4370.3,,,
1/4/1971,4395.1,,,
1/7/1971,4430.2,,,
1/10/1971,4442.5,,,
1/1/1972,4521.9,,,
1/4/1972,4629.1,,,
1/7/1972,4673.5,,,
1/10/1972,4750.5,,,
1/1/1973,4872,,,
1/4/1973,4928.4,,,
1/7/1973,4902.1,,,
1/10/1973,4948.8,,,
1/1/1974,4905.4,,,
1/4/1974,4918,,,
1/7/1974,4869.4,,,
1/10/1974,4850.2,,,
1/1/1975,4791.2,,,
1/4/1975,4827.8,,,
1/7/1975,4909.1,,,
1/10/1975,4973.3,,,
1/1/1976,5086.3,,,
1/4/1976,5124.6,,,
1/7/1976,5149.7,,,
1/10/1976,5187.1,,,
1/1/1977,5247.3,,,
1/4/1977,5351.6,,,
1/7/1977,5447.3,,,
1/10/1977,5446.1,,,
1/1/1978,5464.7,,,
1/4/1978,5679.7,,,
1/7/1978,5735.4,,,
1/10/1978,5811.3,,,
1/1/1979,5821,,,
1/4/1979,5826.4,,,
1/7/1979,5868.3,,,
1/10/1979,5884.5,,,
1/1/1980,5903.4,,,
1/4/1980,5782.4,,,
1/7/1980,5771.7,,,
1/10/1980,5878.4,,,
1/1/1981,6000.6,,,
1/4/1981,5952.7,,,
1/7/1981,6025,,,
1/10/1981,5950,,,
1/1/1982,5852.3,,,
1/4/1982,5884,,,
1/7/1982,5861.4,,,
1/10/1982,5866,,,
1/1/1983,5938.9,,,
1/4/1983,6072.4,,,
1/7/1983,6192.2,,,
1/10/1983,6320.2,,,
1/1/1984,6442.8,,,
1/4/1984,6554,,,
1/7/1984,6617.7,,,
1/10/1984,6671.6,,,
1/1/1985,6734.5,,,
1/4/1985,6791.5,,,
1/7/1985,6897.6,,,
1/10/1985,6950,,,
1/1/1986,7016.8,,,
1/4/1986,7045,,,
1/7/1986,7112.9,,,
1/10/1986,7147.3,,,
1/1/1987,7186.9,,,
1/4/1987,7263.3,,,
1/7/1987,7326.3,,,
1/10/1987,7451.7,,,
1/1/1988,7490.2,,,
1/4/1988,7586.4,,,
1/7/1988,7625.6,,,
1/10/1988,7727.4,,,
1/1/1989,7799.9,,,
1/4/1989,7858.3,,,
1/7/1989,7920.6,,,
1/10/1989,7937.9,,,
1/1/1990,8020.8,,,
1/4/1990,8052.7,,,
1/7/1990,8052.6,,,
1/10/1990,7982,,,
1/1/1991,7943.4,,,
1/4/1991,7997,,,
1/7/1991,8030.7,,,
1/10/1991,8062.2,,,
1/1/1992,8150.7,,,
1/4/1992,8237.3,,,
1/7/1992,8322.3,,,
1/10/1992,8409.8,,,
1/1/1993,8425.3,,,
1/4/1993,8479.2,,,
1/7/1993,8523.8,,,
1/10/1993,8636.4,,,
1/1/1994,8720.5,,,
1/4/1994,8839.8,,,
1/7/1994,8896.7,,,
1/10/1994,8995.5,,,
1/1/1995,9017.6,,,
1/4/1995,9037,,,
1/7/1995,9112.9,,,
1/10/1995,9176.4,,,
1/1/1996,9239.3,,,
1/4/1996,9399,,,
1/7/1996,9480.8,,,
1/10/1996,9584.3,,,
1/1/1997,9658,,,
1/4/1997,9801.2,,,
1/7/1997,9924.2,,,
1/10/1997,10000.3,,,
1/1/1998,10094.8,,,
1/4/1998,10185.6,,,
1/7/1998,10320,,,
1/10/1998,10498.6,,,
1/1/1999,10592.1,,,
1/4/1999,10674.9,,,
1/7/1999,10810.7,,,
1/10/1999,11004.8,,,
1/1/2000,11033.6,,,
1/4/2000,11248.8,,,
1/7/2000,11258.3,,,
1/10/2000,11325,,,
1/1/2001,11287.8,,,
1/4/2001,11361.7,,,
1/7/2001,11330.4,,,
1/10/2001,11370,,,
1/1/2002,11467.1,,,
1/4/2002,11528.1,,,
1/7/2002,11586.6,,,
1/10/2002,11590.6,,,
1/1/2003,11638.9,,,
1/4/2003,11737.5,,,
1/7/2003,11930.7,,,
1/10/2003,12038.6,,,
1/1/2004,12117.9,,,
1/4/2004,12195.9,,,
1/7/2004,12286.7,,,
1/10/2004,12387.2,,,
1/1/2005,12515,,,
1/4/2005,12570.7,,,
1/7/2005,12670.5,,,
1/10/2005,12735.6,,,
1/1/2006,12896.4,,,
1/4/2006,12948.7,,,
1/7/2006,12950.4,,,
1/10/2006,13038.4,,,
1/1/2007,13056.1,,,
1/4/2007,13173.6,,,
1/7/2007,13269.8,,,
1/10/2007,13326,,,
1/1/2008,13266.8,,,
1/4/2008,13310.5,,,
1/7/2008,13186.9,,,
1/10/2008,12883.5,,,
1/1/2009,12663.2,,,
1/4/2009,12641.3,,,
1/7/2009,12694.5,,,
1/10/2009,12813.5,,,
1/1/2010,12937.7,,,
1/4/2010,13058.5,,,
1/7/2010,13139.6,,,
1/10/2010,13216.1,,,
1/1/2011,13227.9,,,
1/4/2011,13271.8,,,
1/7/2011,13331.6,,,
1/10/2011,13429,,,
1/1/2012,13491,,,
